objectid,number,name,address,latitude,longitude,status,bike_stands,available_bike_stands,available_bikes,bonus,banking,last_update,CreationDate,Creator,EditDate,Editor,x,y
148,12009,12009 - DIDEROT,FACE 124 RUE DE CHARENTON - 75012 PARIS,48.84626879,2.37926433,OPEN,18,0,18,0,1,5/16/2013 7:03:28 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.37926432509035,48.8462687898039
149,18037,18037 - AMIRAUX,48 RUE BOINOD - 75018 PARIS,48.89454172,2.35229547,OPEN,20,13,7,0,1,5/16/2013 7:05:06 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.35229546677962,48.8945417158498
150,15035,15035 - PLACE ETIENNE PERNET,2 RUE DES FRERES MORANE - 75015 PARIS,48.84245876,2.29217354,OPEN,42,0,42,0,1,5/16/2013 6:56:52 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.29217354144168,48.8424587555045
151,8016,08016 - SQUARE LOUIS XVI,DEV 32 RUE PASQUIER - 75008 PARIS,48.8732044,2.32365883,OPEN,39,23,14,0,1,5/16/2013 7:04:55 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.32365883074314,48.8732044010289
152,13004,13004 - GLACIERE,88 BOULEVARD AUGUSTE BLANQUI (SUR TPC) - 75013 PARIS,48.83062408,2.34542946,OPEN,68,24,44,0,1,5/16/2013 7:00:44 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.34542945664603,48.8306240750937
153,8025,08025 - MIROMESNIL,39 RUE DE MIROMESNIL - 75008 PARIS,48.87376047,2.31587631,OPEN,33,29,4,0,1,5/16/2013 7:04:33 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.31587630834642,48.87376047214
154,13104,13104 - GARE D'AUSTERLITZ,FACE 109 QUAI D'AUSTERLITZ - 75013 PARIS,48.84379048,2.36558567,OPEN,27,12,15,0,1,5/16/2013 7:03:43 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.36558566557559,48.8437904773204
155,14004,14004 - PORT ROYAL COCHIN,111 BD PORT ROYAL - 75014 PARIS,48.83843183,2.34079467,OPEN,23,22,0,0,1,5/16/2013 7:03:41 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.34079466687067,48.8384318254917
156,11034,11034 - PARMENTIER FONTAINE AU ROI,124 AVENUE PARMENTIER - 75011 PARIS,48.86787671,2.37270598,OPEN,47,0,47,0,1,5/16/2013 7:02:19 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.37270597867147,48.8678767055174
157,13116,13116 - PLACE DU DOCTEUR YERSIN,FACE 5 AVENUE DE LA PORTE D'IVRY - 75013 PARIS,48.82022679,2.37220931,OPEN,18,16,1,0,1,5/16/2013 7:00:44 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.37220930964577,48.8202267926197
158,21021,21021 - PARADIS (BOULOGNE-BILLANCOURT),FACE AU 128 RUE DES ENFANTS DU PARADIS - 92100 BOULOGNE BILLANCOURT,48.83317496,2.25700587,OPEN,40,38,2,0,1,5/16/2013 7:00:01 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:00:40 PM,VotreNom,2.2570058673009,48.8331749589101
159,14002,14002 - RASPAIL QUINET,FACE 4 BD EDGAR QUINET - 75014 PARIS,48.83919917,2.3295551,OPEN,44,44,0,1,1,5/16/2013 6:57:02 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.32955509720775,48.8391991671584
160,18032,18032 - PORTE DE CLIGNANCOURT,FACE 59 RUE BELLIARD - 75018 PARIS,48.89748846,2.3439965,OPEN,32,25,7,0,1,5/16/2013 7:04:02 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.3439964993378,48.8974884597493
161,12005,12005 - CROZATIER,74 RUE CROZATIER - 75012 PARIS,48.85044001,2.37890137,OPEN,30,1,29,0,1,5/16/2013 7:02:20 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.37890136621106,48.8504400134045
162,21018,21018 - SEINE (BOULOGNE-BILLANCOURT),FACE AU 13 RUE DE LA SEINE - 92100 BOULOGNE-BILLANCOURT,48.82824349,2.25065774,OPEN,26,1,25,0,1,5/16/2013 7:00:58 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.250657739639,48.8282434941586
163,12038,12038 - BEL AIR,FACE 12 BOULEVARD PICPUS - 75012 PARIS,48.83998879,2.40052567,OPEN,39,25,14,0,1,5/16/2013 6:56:07 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:56:39 PM,VotreNom,2.40052566855206,48.8399887889119
164,8549,08549 - PLACE DUNANT,39 AVENUE GEORGE V - 75008 PARIS,48.87040914,2.30112319,OPEN,24,24,0,0,1,5/16/2013 7:01:34 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.30112319174414,48.8704091350748
165,16122,16122 - MUETTE NEUILLY,ROUTE DE LA MUETTE A NEUILLY - 75016 PARIS,48.88007964,2.25857659,OPEN,50,29,21,0,1,5/16/2013 7:01:59 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.25857658988375,48.8800796431116
166,17110,17110 - LEGENDRE,83 RUE LEGENDRE - 75017 PARIS,48.88777233,2.32036787,OPEN,29,9,20,0,1,5/16/2013 7:00:06 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:00:40 PM,VotreNom,2.32036786584418,48.8877723254284
167,20002,20002 - PIXERECOURT,FACE 65 RUE PIXERECOURT - 75020 PARIS,48.87380362,2.39601222,OPEN,15,14,1,1,1,5/16/2013 6:57:22 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.39601222330053,48.8738036229888
168,10021,10021 - MARCHE ST QUENTIN,4 RUE DES PETITS HOTELS - 75010 PARIS,48.87735606,2.35451145,OPEN,15,13,2,0,1,5/16/2013 7:01:45 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.35451144563742,48.8773560576523
169,15006,15006 - CHERCHE MIDI,FACE AU 138 RUE DU CHERCHE MIDI - 75015 PARIS,48.84457596,2.31775658,OPEN,36,23,11,0,1,5/16/2013 7:02:52 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:03:41 PM,VotreNom,2.31775657923202,48.8445759639333
